ProjectName,ExpID,ParentID,Description,StartTime,EndTime,Duration,ScoreType,Score,ParentScore,ImprovementParent,Benchmark,ImprovementBenchmark,Params
Kaggle - predict future sales,1,,First Experiment,2020-04-25 13:39:43,2020-04-25 13:50:16,0 days 00:10:33,RMSE,1.3404,,,1,0.3404,
Kaggle - predict future sales,2,1.0,Using 3 lags of sales,2020-04-25 13:55:33,2020-04-25 14:14:23,0 days 00:18:49,RMSE,1.3404,1.3404,0.0,1,0.3404,
Kaggle - predict future sales,3,1.0,Using 3 lags of sales,2020-04-25 14:18:31,2020-04-25 14:46:41,0 days 00:28:09,RMSE,1.3404,1.3404,0.0,1,0.3404,
Kaggle - predict future sales,4,2.0,Fixed bug in exp 2,2020-04-25 15:09:55,2020-04-25 15:11:46,0 days 00:01:51,RMSE,1.2387,1.3404,-0.1017,1,0.2387,
Kaggle - predict future sales,5,4.0,using 7 lags,2020-04-25 15:12:35,2020-04-25 15:14:34,0 days 00:01:58,RMSE,1.2297,1.2387,-0.009000000000000001,1,0.2297,
Kaggle - predict future sales,6,5.0,using 12 lags,2020-04-25 15:24:34,2020-04-25 15:26:12,0 days 00:01:37,RMSE,1.228,1.2297,-0.0017,1,0.228,
Kaggle - predict future sales,7,6.0,using sales since 2014,2020-04-25 15:30:28,2020-04-25 15:32:01,0 days 00:01:32,RMSE,1.2361,1.228,0.0081,1,0.2361,
Kaggle - predict future sales,8,6.0,using sales since 2014 fixed,2020-04-25 15:34:41,2020-04-25 15:36:11,0 days 00:01:29,RMSE,1.2277,1.228,-0.0003,1,0.2277,
Kaggle - predict future sales,9,8.0,Trying Gradient Boosting Regressor,2020-04-25 15:42:45,2020-04-25 15:47:16,0 days 00:04:30,RMSE,1.2259,1.2277,-0.0018,1,0.2259,
Kaggle - predict future sales,10,9.0,Including Price,2020-04-25 16:20:43,2020-04-25 16:28:31,0 days 00:07:47,RMSE,1.0057,1.2259,-0.2202,1,0.0057,
Kaggle - predict future sales,11,9.0,Adding Item Category,2020-04-25 16:37:02,2020-04-25 16:42:14,0 days 00:05:12,RMSE,1.2235,1.2259,-0.0024,1,0.2235,
Kaggle - predict future sales,12,9.0,Adding Item Category - saving params and feature imp,2020-04-25 18:09:47,2020-04-25 18:14:26,0 days 00:04:38,RMSE,1.2235,1.2259,-0.0024,1,0.2235,"{'Model': 'GradientBoostingRegressor', 'Lags': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], 'FeatureImp': '/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_12/importance.csv'}"
Kaggle - predict future sales,13,12.0,One hot encode categories - drop itemid,2020-04-25 18:29:55,2020-04-25 18:35:30,0 days 00:05:34,RMSE,1.2481,1.2235,0.0246,1,0.2481,"{'Model': 'GradientBoostingRegressor', 'Lags': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], 'FeatureImp': '/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_13/importance.csv'}"
Kaggle - predict future sales,14,13.0,Standardized code,2020-04-25 20:53:49,2020-04-25 21:01:32,0 days 00:07:42,RMSE,1.248,1.2481,-0.0001,1,0.248,"{'Pipeline': Pipeline(memory=None,
         steps=[('onehotencoder',
                 OneHotEncoder(categories='auto', drop=None,
                               dtype=<class 'numpy.float64'>,
                               handle_unknown='ignore', sparse=True)),
                ('gradientboostingregressor',
                 GradientBoostingRegressor(alpha=0.9, ccp_alpha=0.0,
                                           criterion='friedman_mse', init=None,
                                           learning_rate=0.1, loss='ls',
                                           max_depth=3, max_features=None,
                                           max_leaf_nodes=None,
                                           min_impurity_decrease=0.0,
                                           min_impurity_split=None,
                                           min_samples_leaf=1,
                                           min_samples_split=2,
                                           min_weight_fraction_leaf=0.0,
                                           n_estimators=100,
                                           n_iter_no_change=None,
                                           presort='deprecated',
                                           random_state=None, subsample=1.0,
                                           tol=0.0001, validation_fraction=0.1,
                                           verbose=0, warm_start=False))],
         verbose=False), 'ip': '../data', 'op': '../submissions/', 'seed': 123, 'laglist': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], 'mkey_cols': ['shop_id', 'item_id'], 'categoricalcols': ['shop_id', 'item_id', 'Year', 'Month', 'item_category_id'], 'numericcols': ['item_price', 'item_cnt_day'], 'ignorecols': ['ID', 'item_cnt_day', 'period', 'item_price', 'item_id'], 'targetcol': 'item_cnt_day', 'FeatureImp': '/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_14/importance.csv'}"
Kaggle - predict future sales,15,14.0,Run 5 holdouts,2020-04-27 10:42:36,2020-04-27 10:44:21,0 days 00:01:44,RMSE,1.1474,1.248,-0.1006,1,0.1474,"{""Pipeline"": ""Pipeline(memory=None,\n         steps=[('onehotencoder',\n                 OneHotEncoder(categories='auto', drop=None,\n                               dtype=<class 'numpy.float64'>,\n                               handle_unknown='ignore', sparse=True)),\n                ('lgbmregressor',\n                 LGBMRegressor(boosting_type='gbdt', class_weight=None,\n                               colsample_bytree=1.0, importance_type='split',\n                               learning_rate=0.1, max_depth=-1,\n                               min_child_samples=20, min_child_weight=0.001,\n                               min_split_gain=0.0, n_estimators=100, n_jobs=-1,\n                               num_leaves=31, objective=None, random_state=None,\n                               reg_alpha=0.0, reg_lambda=0.0, silent=True,\n                               subsample=1.0, subsample_for_bin=200000,\n                               subsample_freq=0))],\n         verbose=False)"", ""ip"": ""../data"", ""op"": ""../submissions/"", ""seed"": ""123"", ""trainstart"": ""201401"", ""holdstart"": ""201506"", ""folds"": ""5"", ""holdoutmonths"": ""1"", ""holdoutshift"": ""1"", ""laglist"": ""[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"", ""mkey_cols"": ""['shop_id', 'item_id']"", ""categoricalcols"": ""['shop_id', 'item_id', 'Year', 'Month', 'item_category_id']"", ""numericcols"": ""['item_price', 'item_cnt_day']"", ""ignorecols"": ""['ID', 'item_cnt_day', 'period', 'item_price', 'item_id']"", ""targetcol"": ""item_cnt_day"", ""FeatureImp"": ""/home/maskarasaket/Documents/kaggle/pred_future_sales/Code/../Artefacts/exp_15/importance.csv""}"
